Time:                    RO:
0.0                        7.19506208544662E12
0.0                        7.165157194027031E12
0.0                        2.1986505563933323E10
0.001                        7.443019811004974E10
0.002                        1.7241543780179892E11
0.003                        2.1417356716359302E11
0.004                        5.081907982577663E11
0.005                        6.805140339511329E11
0.006                        8.765924499677872E11
0.007                        1.496440751278519E12
0.008                        2.1476539481146807E12
0.009000000000000001                        2.58525743829327E12
0.01                        3.110151974768162E12
0.011                        3.491921121384258E12
0.012                        4.27025741923203E12
0.013000000000000001                        4.984339570280287E12
0.014                        6.192560613950354E12
0.015                        6.898640346203198E12
0.016                        7.943606237545727E12
0.017                        7.815558729093684E12
0.0                        5.46219653680877E10
0.001                        1.5804035330741324E11
0.002                        1.7888440223935883E11
0.003                        2.607396725662458E11
0.004                        4.3030871196715137E11
0.005                        6.890471572240054E11
0.006                        1.2423479055454324E12
0.007                        1.4733107770439312E12
0.008                        1.5480729702696E12
0.009000000000000001                        2.0743722354086934E12
0.01                        2.9263473650907197E12
0.011                        3.8086736364714243E12
0.012                        4.552699341404783E12
0.013000000000000001                        5.084538557481306E12
0.014                        6.018392157710097E12
0.0                        6.088516695770112E12
0.001                        6.251260385801292E12
0.002                        6.259180956851814E12
0.0                        6.268253634138596E12
0.001                        6.399023660325905E12
0.002                        6.411388486900668E12
0.0                        6.442090789199266E12
0.001                        6.554698727320947E12
0.002                        6.712144464508582E12
0.0                        6.779003167173725E12
0.001                        6.89999506002923E12
0.002                        7.08740137157835E12
0.0                        7.151903148971669E12
0.0                        7.168916372762282E12
0.0                        7.054045323948564E12
0.0                        6.951499044799455E12
0.0                        6.97531510324616E12
0.0                        6.942937988897397E12
0.0                        6.85055940369334E12
0.0                        6.862088568995387E12
0.0                        6.85084216260743E12
0.0                        2.76235183716877E10
0.001                        3.8326407906915474E10
0.002                        9.777164681781352E10
0.003                        1.6060658088564853E11
0.004                        2.9047704403888214E11
0.005                        7.180720273834125E11
0.006                        1.124459306785774E12
0.007                        1.4535098693816423E12
0.008                        2.1006600850876628E12
0.009000000000000001                        2.6015235895317705E12
0.01                        3.506844443615535E12
0.011                        3.522716655910093E12
